n_neighbors,p,cross_validation_accuracy
1.000000,1.000000,0.501034
1.000000,2.000000,0.502009
1.000000,3.000000,0.501293
2.000000,1.000000,0.495008
2.000000,2.000000,0.499602
2.000000,3.000000,0.499483
3.000000,1.000000,0.560578
3.000000,2.000000,0.564795
3.000000,3.000000,0.566545
4.000000,1.000000,0.596973
4.000000,2.000000,0.602124
4.000000,3.000000,0.603894
5.000000,1.000000,0.619367
5.000000,2.000000,0.625472
5.000000,3.000000,0.627421
6.000000,1.000000,0.632175
6.000000,2.000000,0.640508
6.000000,3.000000,0.642079
7.000000,1.000000,0.639434
7.000000,2.000000,0.648204
7.000000,3.000000,0.650969
8.000000,1.000000,0.645798
8.000000,2.000000,0.653892
8.000000,3.000000,0.656458
9.000000,1.000000,0.650113
9.000000,2.000000,0.658148
9.000000,3.000000,0.661171
10.000000,1.000000,0.652699
10.000000,2.000000,0.661191
10.000000,3.000000,0.663617
11.000000,1.000000,0.654369
11.000000,2.000000,0.663498
11.000000,3.000000,0.664890
12.000000,1.000000,0.656378
12.000000,2.000000,0.663776
12.000000,3.000000,0.665825
13.000000,1.000000,0.657134
13.000000,2.000000,0.664492
13.000000,3.000000,0.666879
14.000000,1.000000,0.657651
14.000000,2.000000,0.664970
14.000000,3.000000,0.667575
15.000000,1.000000,0.657372
15.000000,2.000000,0.664810
15.000000,3.000000,0.667953
16,1,0.657969054532
16,2,0.664790581122
16,3,0.667853307347
17,1,0.657809951871
17,2,0.665049122947
17,3,0.667296448033
18,1,0.657710512708
18,2,0.665208225608
18,3,0.667336223698
19,1,0.657551410047
19,2,0.665108786444
19,3,0.667236784535
20,1,0.657093989897
20,2,0.664830356788
20,3,0.667117457539
21,1,0.656974662901
21,2,0.664114394813
21,3,0.667018018376
22,1,0.656636569747
22,2,0.664233721809
22,3,0.666500934728
23,1,0.656238813094
23,2,0.663656974663
23,3,0.666262280737
24,1,0.656039934768
24,2,0.663398432839
24,3,0.665904299749
25,1,0.655323972793
25,2,0.663199554513
25,3,0.666003738913
